hour_of_day,avg_temp
0,25.143030303030304
1,26.308250000000008
2,25.096190476190475
3,26.265510204081643
4,24.640638297872343
5,22.890869565217386
6,27.112564102564104
7,24.84894736842105
8,23.983947368421052
9,24.536875
10,24.97125000000001
11,26.316086956521744
12,26.56457142857143
13,26.11977777777778
14,25.56452380952381
15,24.50313725490197
16,24.749189189189188
17,25.061428571428564
18,25.524736842105266
19,25.12432432432433
20,25.994499999999995
21,23.039999999999996
22,24.961590909090912
23,26.30772727272728
